               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.033778,            0.036741,           0.0018796,             0.90236,             0.84078,             0.88577,             0.52657,            0.032124,             0.01755,           0.0015285,            0.002476,            0.002476,            0.002476
                  78,            0.033763,            0.037061,           0.0018937,             0.90292,             0.84317,             0.88753,             0.52999,            0.031858,            0.017399,           0.0015258,            0.002377,            0.002377,            0.002377
                  79,             0.03361,             0.03755,           0.0019137,             0.90082,             0.85379,             0.89117,              0.5307,            0.031837,            0.017339,           0.0014351,            0.002278,            0.002278,            0.002278
                  80,            0.033423,            0.036865,           0.0018844,             0.89553,             0.84861,             0.88672,              0.5248,            0.031954,            0.017358,           0.0014868,            0.002179,            0.002179,            0.002179
                  81,            0.033554,            0.037287,           0.0018568,              0.9029,             0.84797,             0.89256,             0.52821,             0.03182,             0.01732,            0.001428,             0.00208,             0.00208,             0.00208
                  82,            0.033201,            0.036806,           0.0018847,             0.90833,             0.84114,             0.89186,             0.52955,            0.031888,            0.017324,           0.0015158,            0.001981,            0.001981,            0.001981
                  83,            0.033363,             0.03732,           0.0018394,             0.90462,             0.84448,              0.8934,             0.52982,            0.031872,            0.017272,           0.0014665,            0.001882,            0.001882,            0.001882
                  84,             0.03326,            0.037234,           0.0018698,             0.90672,             0.85143,             0.89222,             0.53153,             0.03185,            0.017243,           0.0014154,            0.001783,            0.001783,            0.001783
                  85,            0.033206,            0.036829,           0.0018265,             0.90819,             0.85297,              0.8948,             0.53202,            0.031823,            0.017219,           0.0014114,            0.001684,            0.001684,            0.001684
                  86,            0.033089,            0.037424,           0.0017477,             0.90934,              0.8489,             0.89493,             0.53365,            0.031713,            0.017225,           0.0014476,            0.001585,            0.001585,            0.001585
                  87,            0.033145,            0.037143,           0.0017599,             0.91209,              0.8394,             0.89208,             0.53139,            0.031812,            0.017259,           0.0014467,            0.001486,            0.001486,            0.001486
                  88,            0.033024,            0.036616,           0.0018378,             0.90545,               0.851,             0.89263,             0.53188,            0.031704,            0.017233,           0.0013969,            0.001387,            0.001387,            0.001387
                  89,            0.032883,            0.036607,           0.0017436,             0.90825,             0.85053,             0.89449,             0.53575,            0.031495,            0.017146,           0.0013973,            0.001288,            0.001288,            0.001288
                  90,             0.03279,            0.036829,           0.0017215,             0.91028,             0.85191,             0.89391,             0.53503,            0.031445,            0.017125,           0.0014737,            0.001189,            0.001189,            0.001189
                  91,            0.032812,            0.036472,           0.0016835,              0.8994,              0.8555,             0.89451,               0.536,             0.03157,            0.017138,           0.0014237,             0.00109,             0.00109,             0.00109
                  92,            0.032669,            0.036727,           0.0017281,             0.89753,             0.85958,             0.89369,             0.53688,            0.031514,            0.017113,           0.0014271,            0.000991,            0.000991,            0.000991
                  93,            0.032643,             0.03651,           0.0016787,             0.91446,             0.85046,             0.89341,             0.53717,            0.031511,            0.017098,           0.0014203,            0.000892,            0.000892,            0.000892
                  94,            0.032467,            0.036141,           0.0016142,             0.90023,             0.85929,              0.8917,             0.53735,            0.031454,             0.01712,           0.0014468,            0.000793,            0.000793,            0.000793
                  95,            0.032423,            0.036448,           0.0016907,             0.90561,             0.85959,             0.89512,              0.5377,            0.031486,            0.017119,           0.0014569,            0.000694,            0.000694,            0.000694
                  96,            0.032641,            0.036618,           0.0017134,             0.91051,             0.85128,             0.89424,              0.5359,             0.03151,            0.017153,           0.0014895,            0.000595,            0.000595,            0.000595
                  97,            0.032441,            0.036458,           0.0015692,             0.90574,              0.8564,              0.8947,             0.53528,            0.031531,            0.017149,           0.0014456,            0.000496,            0.000496,            0.000496
                  98,            0.032375,            0.035672,           0.0016571,             0.90881,             0.85152,             0.89317,             0.53191,            0.031623,            0.017156,           0.0014298,            0.000397,            0.000397,            0.000397
                  99,            0.031992,            0.035194,           0.0016183,             0.90645,              0.8584,              0.8934,             0.53669,            0.031419,            0.017092,           0.0014187,            0.000298,            0.000298,            0.000298
